"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"Synergy"	"Ledge"
"NFIC"	"NFIC"	43	-0.18	0.858	0.951	NA	"BTBD9, HMGB1P10, PDCD10, VCPKMT, + 17 genes"
"GLI2"	"GLI2"	130	-0.18	0.857	0.951	NA	"RUNX2, EFNB1, KCTD17, PLEKHA6, + 46 genes"
"SMARCC1"	"SMARCC1"	149	-0.18	0.853	0.948	NA	"DOCK9, CDYL, SERINC5, DHRS12, + 141 genes"
"ZNF526"	"ZNF526"	58	-0.19	0.852	0.948	NA	"CCNF, GPR3, ZNF836, EHD1, + 29 genes"
"ZNF324B"	"ZNF324B"	57	-0.19	0.851	0.948	NA	"TSSK6, ZNF317, COG8, ZNF554, + 15 genes"
"RFX2"	"RFX2"	38	-0.19	0.851	0.948	NA	"CAV1, TES, PACSIN1, PVR, + 12 genes"
"ZNF517"	"ZNF517"	43	-0.2	0.844	0.946	NA	"URGCP, BBS5, DHX34, DEAF1, + 27 genes"
"HOXB4"	"HOXB4"	25	-0.21	0.837	0.943	NA	"TRPV2, CHN1, TMEM273, NTNG2, + 21 genes"
"SMAD3"	"SMAD3"	158	-0.21	0.837	0.943	NA	"CLEC16A, SHE, TGM1, PTPRF, + 43 genes"
"NFIX"	"NFIX"	57	-0.21	0.831	0.94	NA	"SLC2A13, NAT8L, PLLP, ANKH, + 8 genes"
"ZNF320"	"ZNF320"	33	-0.22	0.829	0.94	NA	"AGO4, RTF2, PLEKHA8, NOM1, + 29 genes"
"NR2C2"	"NR2C2"	43	-0.22	0.825	0.938	NA	"TBC1D12, USP15, HOOK3, HERC4, + 38 genes"
"SP1"	"SP1"	58	-0.23	0.818	0.932	NA	"ZMYND8, UBAP2L, ABCB8, DYRK2, + 54 genes"
"GLI4"	"GLI4"	215	-0.24	0.811	0.932	NA	"MRPL3, COQ4, WDR44, ARIH2OS, + 105 genes"
"TBX21"	"TBX21"	84	-0.25	0.804	0.928	NA	"PARP1, IL12RB1, RNF166, GZMH, + 59 genes"
"LCOR"	"LCOR"	44	-0.25	0.804	0.928	NA	"TET3, MTSS1, PEPD, SPRED1, + 40 genes"
"ZNF30"	"ZNF30"	36	-0.25	0.802	0.928	NA	"ZFP69, LMO2, ZNF799, CIDECP, + 16 genes"
"CREBZF"	"CREBZF"	56	-0.25	0.802	0.928	NA	"CARF, KLF3-AS1, ENGASE, YTHDF2, + 33 genes"
"SSRP1"	"SSRP1"	120	-0.25	0.801	0.928	NA	"ATP6V0D1, SPPL3, YEATS4, OARD1, + 36 genes"
"FOXN2"	"FOXN2"	60	-0.26	0.796	0.926	NA	"RNF19A, VCPIP1, PSMB5, OVOL2, + 20 genes"
"MIS18BP1"	"MIS18BP1"	87	-0.27	0.786	0.919	NA	"GAS2L3, DIAPH3, KIF4A, TOP2A, + 81 genes"
"ZNF646"	"ZNF646"	32	-0.27	0.785	0.919	NA	"MORF4L2, DHX37, MOCS2, MORC2, + 5 genes"
"ZBTB32"	"ZBTB32"	36	-0.28	0.783	0.919	NA	"DOK3, RASAL3, ARHGAP9, MMP25-AS1, + 23 genes"
"IKZF1"	"IKZF1"	204	-0.28	0.783	0.919	NA	"VCAM1, DAPP1, IGHM, SHISAL2A, + 130 genes"
"RUNX3"	"RUNX3"	96	-0.28	0.781	0.919	NA	"CDH23, CXCL9, TRAF5, HCLS1, + 74 genes"
"AEBP2"	"AEBP2"	61	-0.28	0.779	0.919	NA	"RPRD1A, YAF2, SERTAD2, SMIM14, + 4 genes"
"NR5A2"	"NR5A2"	25	-0.29	0.771	0.917	NA	"TGFBR2, HOPX, TLL1, KITLG, + 7 genes"
"E2F5"	"E2F5"	28	-0.29	0.77	0.916	NA	"RBM39, ZNF700, DNAJC21, RCOR3, + 9 genes"
"ZNF284"	"ZNF284"	26	-0.3	0.766	0.915	NA	"ZKSCAN4, ZNF773, ZNF554, SREBF2-AS1, + 9 genes"
"PCBP1"	"PCBP1"	99	-0.3	0.765	0.915	NA	"FBXL14, M6PR, PGAM1, PTGES3P3, + 52 genes"
"MSC"	"MSC"	97	-0.31	0.756	0.912	NA	"ACTB, CORO1A, LSP1, CST7, + 45 genes"
"ZNF263"	"ZNF263"	61	-0.32	0.753	0.912	NA	"C19orf48, ATP6V0D1, VAMP2, HDAC3, + 19 genes"
"ZNF672"	"ZNF672"	41	-0.32	0.745	0.906	NA	"CAB39, RPS6KA1, LINC00963, MTMR12, + 18 genes"
"POGZ"	"POGZ"	54	-0.33	0.744	0.906	NA	"RAD52, VN1R1, DMTF1, ZNF662, + 30 genes"
"FOXJ2"	"FOXJ2"	28	-0.34	0.734	0.898	NA	"TMEM14A, R3HDM2, CETN3, GTF2A2, + 24 genes"
"ZFP91"	"ZFP91"	197	-0.35	0.727	0.891	NA	"AFF4, B3GNT4, API5, PDS5A, + 76 genes"
"ZBTB22"	"ZBTB22"	36	-0.35	0.723	0.89	NA	"MARCH1, RNF167, CCDC71, SKOR1, + 17 genes"
"ARID4B"	"ARID4B"	46	-0.36	0.718	0.89	NA	"KIF3A, PWWP2A, BLVRB, ASNA1, + 41 genes"
"ZNF606"	"ZNF606"	42	-0.37	0.714	0.89	NA	"ZNF441, ZNF415, ZNF331, ZNF721, + 18 genes"
"POU6F1"	"POU6F1"	51	-0.37	0.713	0.889	NA	"UBXN11, PLA2G6, PSMA6, TTC21A, + 28 genes"
"ZBTB11"	"ZBTB11"	118	-0.37	0.713	0.889	NA	"COPE, BTAF1, PDAP1, TTC37, + 45 genes"
"ZNF580"	"ZNF580"	74	-0.37	0.712	0.889	NA	"OCEL1, METTL23, TCEAL3, SRPK1, + 36 genes"
"ZNF814"	"ZNF814"	75	-0.38	0.704	0.886	NA	"PTOV1-AS1, DIS3L2, KRT18P13, P2RY2, + 28 genes"
"JARID2"	"JARID2"	63	-0.39	0.7	0.883	NA	"YWHAE, CARD8, SDHAF4, SQSTM1, + 16 genes"
"PBX1"	"PBX1"	70	-0.39	0.7	0.883	NA	"ARID4B, NAP1L3, GGCX, NFIX, + 21 genes"
"ZNF500"	"ZNF500"	48	-0.39	0.697	0.883	NA	"TJAP1, COQ10B, CEP89, TSSK6, + 17 genes"
"REL"	"REL"	151	-0.39	0.696	0.883	NA	"IDH3B, GPR137, CEMIP2, DCTN3, + 144 genes"
"ZNF449"	"ZNF449"	30	-0.39	0.694	0.882	NA	"PRPF39, INTS5, PIGB, ZFYVE28, + 14 genes"
"IRF8"	"IRF8"	73	-0.4	0.692	0.88	NA	"PTPRC, PLA1A, PTPN1, TNPO2, + 25 genes"
"HOMEZ"	"HOMEZ"	31	-0.4	0.688	0.876	NA	"MRPS17, MRPS30, TANGO2, UBAC2-AS1, + 15 genes"
"ATF1"	"ATF1"	66	-0.4	0.687	0.876	NA	"CASC4, HACD2, PPIL4, LAMTOR2, + 14 genes"
"SALL1"	"SALL1"	81	-0.41	0.685	0.876	NA	"PBX1, ARG2, GALNT11, BCOR, + 35 genes"
"FOXC1"	"FOXC1"	75	-0.42	0.671	0.866	NA	"TUBB2A, SH3BP4, SORBS1, ATP6V0A1, + 22 genes"
"ZNF770"	"ZNF770"	244	-0.43	0.666	0.866	NA	"AFF4, LMAN1, RAD50, CUL4A, + 112 genes"
"PRDM4"	"PRDM4"	25	-0.44	0.658	0.862	NA	"SART3, DDX42, MZT2B, MVB12A, + 20 genes"
"ZBED4"	"ZBED4"	90	-0.45	0.656	0.862	NA	"TMEM231, ANXA3, FOXN3, CHMP2A, + 26 genes"
"ASCL2"	"ASCL2"	60	-0.45	0.652	0.859	NA	"SLC39A6, NPHP4, PRNP, YAP1, + 12 genes"
"ZNF337"	"ZNF337"	39	-0.45	0.652	0.859	NA	"DMTF1, ZNF559-ZNF177, DIP2A, CROCCP3, + 27 genes"
"MYBL1"	"MYBL1"	59	-0.45	0.652	0.859	NA	"ARHGAP9, ZNF629, CCDC88A, SPDL1, + 32 genes"
"RCOR3"	"RCOR3"	72	-0.46	0.647	0.859	NA	"STK10, AP1B1, YOD1, MFSD12, + 32 genes"
"UNKL"	"UNKL"	78	-0.46	0.646	0.859	NA	"ASXL1, ZPR1, PRKRA, INTU, + 30 genes"
"ZNF219"	"ZNF219"	36	-0.46	0.644	0.858	NA	"ARHGAP39, METRN, COX8A, CFH, + 18 genes"
"CDC5L"	"CDC5L"	104	-0.47	0.635	0.85	NA	"MRPL41, UGDH, RSF1, TAB2, + 34 genes"
"FOXN3"	"FOXN3"	135	-0.48	0.634	0.85	NA	"DOCK7, COA3, CNTN4, CCNO, + 56 genes"
"HOXA3"	"HOXA3"	27	-0.48	0.633	0.85	NA	"GIMAP1, PRRX1, MRGPRF, PCDHB7, + 6 genes"
"ZFHX3"	"ZFHX3"	35	-0.5	0.614	0.832	NA	"ZNF436, GTF3A, HLA-F, TNFSF12, + 13 genes"
"ZNF334"	"ZNF334"	31	-0.51	0.614	0.832	NA	"VN1R1, DMTF1, WDYHV1, CROCCP3, + 18 genes"
"NFKB1"	"NFKB1"	75	-0.51	0.613	0.832	NA	"BLOC1S1, TBC1D2B, PIK3CG, JPX, + 25 genes"
"SIX5"	"SIX5"	42	-0.51	0.613	0.832	NA	"PUM3, LRP5, MZF1, EIF5B, + 19 genes"
"KMT2A"	"KMT2A"	111	-0.51	0.611	0.832	NA	"MRPS16, MRPS36, RAB5IF, TXNL4A, + 53 genes"
"MAZ"	"MAZ"	90	-0.51	0.607	0.83	NA	"CAPS, CNBP, ATP6V0D1, HDLBP, + 42 genes"
"ZNF226"	"ZNF226"	46	-0.52	0.606	0.83	NA	"ERMARD, AP5B1, EFHC1, SLC12A7, + 27 genes"
"ZNF74"	"ZNF74"	32	-0.52	0.606	0.83	NA	"MKS1, TNK1, FBXO7, POLDIP3, + 7 genes"
"THRA"	"THRA"	118	-0.52	0.604	0.83	NA	"METRN, NFIX, VPS4A, EXOC3-AS1, + 63 genes"
"TBX3"	"TBX3"	49	-0.53	0.599	0.829	NA	"FBLIM1, CREBL2, GREB1, TMEM273, + 20 genes"
"ZBTB39"	"ZBTB39"	26	-0.53	0.598	0.828	NA	"ZKSCAN4, ZKSCAN8, ZNF200, ZNF184, + 10 genes"
"ZBTB38"	"ZBTB38"	102	-0.53	0.596	0.828	NA	"SRPK2, MRPL55, AFF4, SYNE4, + 49 genes"
"NCOR1"	"NCOR1"	26	-0.53	0.594	0.828	NA	"NF1, PRRC2B, QSER1, SON, + 10 genes"
"TFAP2A"	"TFAP2A"	67	-0.54	0.59	0.824	NA	"CHAD, PRRX1, RGMA, PLEKHB2, + 19 genes"
"NFYA"	"NFYA"	66	-0.54	0.587	0.823	NA	"ARHGAP32, ABHD14B, NUBP2, FBXW5, + 30 genes"
"ZNF212"	"ZNF212"	25	-0.54	0.587	0.823	NA	"WDR33, CCDC71, LINC00526, FAM86C2P, + 11 genes"
"ZNF250"	"ZNF250"	34	-0.55	0.584	0.821	NA	"APMAP, SELPLG, NINJ2, C1orf162, + 22 genes"
"NSD2"	"NSD2"	67	-0.55	0.584	0.821	NA	"KANSL1, XRCC6, EIF4A3, ANGPTL4, + 14 genes"
"EBF2"	"EBF2"	68	-0.56	0.577	0.818	NA	"DYNC1I1, EBF3, UBE2Z, FRY, + 21 genes"
"ZNF554"	"ZNF554"	61	-0.57	0.572	0.815	NA	"ZNF284, HPS4, ZNF665, C1orf174, + 28 genes"
"ESRRA"	"ESRRA"	180	-0.57	0.569	0.813	NA	"COX7B, C6orf136, CCDC151, DIRC3, + 104 genes"
"MSX1"	"MSX1"	79	-0.57	0.567	0.812	NA	"MAP3K7, GRIN2D, MIR497HG, PLAC9, + 24 genes"
"ATF6"	"ATF6"	54	-0.57	0.567	0.812	NA	"COPB1, FAM20B, LMAN1, SLC31A1, + 23 genes"
"IRF6"	"IRF6"	78	-0.57	0.567	0.812	NA	"LINC01315, TUFT1, PIGA, RAB3IP, + 31 genes"
"ZNF720"	"ZNF720"	72	-0.57	0.566	0.812	NA	"FUBP1, RSF1, GSE1, NBL1, + 39 genes"
"PLAGL2"	"PLAGL2"	68	-0.57	0.566	0.812	NA	"COPE, PTS, ZBTB39, BCL6, + 34 genes"
"HHEX"	"HHEX"	45	-0.58	0.559	0.81	NA	"ZNF879, LINC00310, SLC6A13, HMGN2, + 20 genes"
"KLF7"	"KLF7"	130	-0.58	0.559	0.81	NA	"DPH5, APAF1, CLPP, STUB1, + 48 genes"
"YY1"	"YY1"	96	-0.58	0.559	0.81	NA	"SPA17, ADCY7, TCP11L1, RDH11, + 55 genes"
"MLX"	"MLX"	186	-0.58	0.559	0.81	NA	"TMEM254, ESR1, ATG3, GDPD1, + 88 genes"
"KDM5A"	"KDM5A"	160	-0.59	0.558	0.81	NA	"MED11, MFSD3, NPRL2, WDR13, + 97 genes"
"HMG20A"	"HMG20A"	94	-0.59	0.556	0.81	NA	"TIMM8B, RIC1, KLHL20, SNF8, + 61 genes"
"RCOR1"	"RCOR1"	93	-0.6	0.552	0.809	NA	"GPAA1, TAOK1, ZBTB11, KIF2A, + 55 genes"
"FOXO4"	"FOXO4"	37	-0.6	0.549	0.808	NA	"FAM184A, CNNM3, ZSWIM9, DCBLD1, + 13 genes"
"CSRNP3"	"CSRNP3"	36	-0.6	0.546	0.807	NA	"SEMA3B, CPSF4, TTC7B, RARRES2, + 17 genes"
"MEF2D"	"MEF2D"	38	-0.6	0.546	0.807	NA	"RPL35A, RPP38, CWC15, SLC41A1, + 20 genes"
"RERE"	"RERE"	65	-0.61	0.545	0.807	NA	"SPTSSA, LACTB2, REXO2, CCDC171, + 18 genes"
"MYC"	"MYC"	38	-0.62	0.537	0.803	NA	"IKZF1, SPSB1, SERPINB9, SLC25A32, + 8 genes"
"ZBTB4"	"ZBTB4"	52	-0.62	0.537	0.803	NA	"KAT7, RRM2, SRGN, SCMH1, + 37 genes"
"ZNF398"	"ZNF398"	40	-0.63	0.53	0.798	NA	"ZNF526, ZKSCAN2, ZNF260, ABCF1, + 16 genes"
"PTTG1"	"PTTG1"	72	-0.64	0.525	0.797	NA	"SEC61B, CLN8, RTN4RL2, PHF8, + 39 genes"
"KLF6"	"KLF6"	49	-0.64	0.52	0.792	NA	"TENT5A, ZFP36, WTAP, MRM2, + 16 genes"
"ZNF540"	"ZNF540"	73	-0.64	0.52	0.792	NA	"ZNF814, GSTA4, ZNF789, ZNF529, + 43 genes"
"MYSM1"	"MYSM1"	68	-0.65	0.516	0.789	NA	"TUBE1, FUBP1, PSMB5, CCDC18, + 36 genes"
"ID1"	"ID1"	77	-0.65	0.515	0.789	NA	"COQ4, SMIM5, SMYD3, IFT20, + 50 genes"
"NR2C1"	"NR2C1"	33	-0.65	0.514	0.789	NA	"AGBL2, FAM227A, TOMM40L, KLRA1P, + 21 genes"
"LCORL"	"LCORL"	28	-0.66	0.51	0.784	NA	"DNAJB14, LRIF1, CEP97, KLHL24, + 12 genes"
"ZBED2"	"ZBED2"	89	-0.66	0.507	0.782	NA	"SYT17, SUSD2, CREB3L1, C10orf25, + 36 genes"
"MTA3"	"MTA3"	115	-0.66	0.506	0.782	NA	"TIGD1, BBS12, SLC25A21-AS1, GAS8, + 68 genes"
"SMARCA5"	"SMARCA5"	79	-0.66	0.506	0.782	NA	"PRR22, COPB1, PDS5B, AFF4, + 40 genes"
"ZFP14"	"ZFP14"	40	-0.67	0.502	0.782	NA	"ZNF264, ZNF441, ZNF415, ZNF331, + 26 genes"
"CREB3L4"	"CREB3L4"	58	-0.67	0.501	0.782	NA	"CERS6, CENPV, SPATA33, PGAP2, + 36 genes"
"NFX1"	"NFX1"	37	-0.67	0.5	0.782	NA	"TTC17, AP2S1, MLLT10, KIF27, + 17 genes"
"VEZF1"	"VEZF1"	54	-0.67	0.5	0.782	NA	"TGOLN2, SSX2IP, KIF2A, NDUFA13, + 33 genes"
"ZNF415"	"ZNF415"	35	-0.67	0.5	0.782	NA	"EIF2A, RCE1, NNMT, GID4, + 20 genes"
"TCF12"	"TCF12"	222	-0.68	0.499	0.782	NA	"PHPT1, GSTZ1, ITPA, ZDHHC24, + 151 genes"
"HKR1"	"HKR1"	45	-0.68	0.496	0.782	NA	"ZNF487, ADCY7, FAM192A, ZNF415, + 31 genes"
"KLF2"	"KLF2"	52	-0.68	0.495	0.782	NA	"SGK1, ADRB2, THBD, PCAT19, + 27 genes"
"BCL6"	"BCL6"	67	-0.69	0.493	0.782	NA	"GABRB2, PAPLN, COL8A2, SEL1L3, + 8 genes"
"ZBTB41"	"ZBTB41"	86	-0.69	0.491	0.781	NA	"AIDA, ASB6, PMF1, AFF4, + 56 genes"
"ZNF10"	"ZNF10"	83	-0.69	0.491	0.781	NA	"PJVK, ZNF211, ZNF814, GSTA4, + 48 genes"
"SKI"	"SKI"	74	-0.69	0.491	0.781	NA	"TIMM8A, TIMM23, BCL9L, TIMM9, + 42 genes"
"MIER1"	"MIER1"	43	-0.69	0.49	0.781	NA	"SEPT7, VCPIP1, SFT2D2, RNF168, + 20 genes"
"ARID4A"	"ARID4A"	89	-0.69	0.489	0.781	NA	"GAA, NDUFB10, ANAPC11, SLC25A39, + 45 genes"
"ELF1"	"ELF1"	102	-0.69	0.489	0.781	NA	"AURKAIP1, BRMS1, SLC25A10, PDAP1, + 63 genes"
"ZEB2"	"ZEB2"	109	-0.69	0.488	0.781	NA	"PLD1, TSSC2, PDE3B, SIX1, + 60 genes"
"ZKSCAN4"	"ZKSCAN4"	36	-0.69	0.488	0.781	NA	"ZNF416, ZNF572, CLP1, ZIK1, + 13 genes"
"ZBED1"	"ZBED1"	76	-0.7	0.486	0.781	NA	"INKA2, NSUN2, WDR75, PLCXD1, + 30 genes"
"ZNF547"	"ZNF547"	39	-0.7	0.486	0.781	NA	"NAALAD2, THOC1, SGSM2, PJVK, + 25 genes"
"ADNP"	"ADNP"	50	-0.7	0.483	0.781	NA	"MRPL27, TIMM8B, NCOR1, EP400, + 34 genes"
"LHX4"	"LHX4"	32	-0.71	0.478	0.78	NA	"ZNF124, PARGP1, RBM33, RPL32P3, + 22 genes"
"ZFP92"	"ZFP92"	38	-0.72	0.473	0.772	NA	"DAAM2, FZD4, CDK6, PSPC1, + 9 genes"
"NFAT5"	"NFAT5"	257	-0.72	0.472	0.772	NA	"PMF1, STX8, AFF4, RPL34, + 183 genes"
"FOXO3"	"FOXO3"	51	-0.72	0.472	0.772	NA	"ERRFI1, RSF1, EXOSC4, SMC3, + 24 genes"
"ZNF835"	"ZNF835"	40	-0.72	0.471	0.772	NA	"CSTF1, ZBTB3, MMACHC, SERPINE1, + 17 genes"
"KMT2D"	"KMT2D"	169	-0.72	0.47	0.772	NA	"DNAJC8, LYRM1, RPL35A, FRG1, + 111 genes"
"ZNF18"	"ZNF18"	56	-0.73	0.466	0.769	NA	"MGME1, HAUS7, MTIF3, POPDC2, + 32 genes"
"RFX7"	"RFX7"	42	-0.73	0.466	0.769	NA	"NSMCE1, KDM5A, RNH1, COA4, + 29 genes"
"ZNF789"	"ZNF789"	151	-0.74	0.461	0.764	NA	"HCG27, CKMT2-AS1, PJVK, MIR3936HG, + 100 genes"
"GRHL2"	"GRHL2"	44	-0.74	0.46	0.764	NA	"ZC3H14, PSME2, PTPN3, PSMA7, + 25 genes"
"ZNF436"	"ZNF436"	40	-0.74	0.458	0.762	NA	"CD274, CENPO, BRI3, LRP5, + 17 genes"
"CENPT"	"CENPT"	141	-0.75	0.453	0.759	NA	"ADAMTS13, ZNF814, IFT20, KCNAB3, + 96 genes"
"ZNF599"	"ZNF599"	89	-0.75	0.453	0.759	NA	"ZNF814, GSTA4, PSMD11, BRWD1-AS2, + 54 genes"
"TAL1"	"TAL1"	56	-0.76	0.448	0.755	NA	"SCN4B, CACNA1H, ABCA8, REEP1, + 19 genes"
"TAF1"	"TAF1"	146	-0.77	0.439	0.745	NA	"UTRN, UBL5, MRPL12, ZFYVE26, + 98 genes"
"ELMSAN1"	"ELMSAN1"	51	-0.78	0.437	0.742	NA	"MED4, COA3, MECP2, UBR5, + 31 genes"
"ZNF697"	"ZNF697"	48	-0.78	0.433	0.74	NA	"PNMA6A, GPR173, BSPRY, ZNF664, + 14 genes"
"ARNT"	"ARNT"	27	-0.79	0.427	0.732	NA	"HRAS, PNMA8B, CEP350, DENND1B, + 12 genes"
"ZNF3"	"ZNF3"	28	-0.8	0.423	0.729	NA	"ZNF773, FYTTD1, OSER1, EXOSC2, + 12 genes"
"ETV2"	"ETV2"	178	-0.81	0.418	0.724	NA	"COQ4, KIDINS220, WDR44, POLR2J4, + 131 genes"
"ZNF468"	"ZNF468"	37	-0.82	0.415	0.721	NA	"SLC6A9, PTPN3, CLIP1, CEP104, + 17 genes"
"GMEB2"	"GMEB2"	60	-0.82	0.411	0.718	NA	"LACTB, THAP7-AS1, CPLANE2, USP11, + 32 genes"
"ZNF35"	"ZNF35"	32	-0.83	0.407	0.713	NA	"C17orf51, GNPAT, PPP1R26, CCDC9, + 20 genes"
"HBP1"	"HBP1"	70	-0.83	0.405	0.71	NA	"BOLA2B, MRPL41, PRDM4, UBE2J2, + 47 genes"
"SKOR1"	"SKOR1"	30	-0.84	0.401	0.705	NA	"VPS35, PTBP2, DTX3, FKRP, + 15 genes"
"ZNF384"	"ZNF384"	54	-0.84	0.401	0.705	NA	"ZNF839, ZNF410, SRRM2, TAF1, + 32 genes"
"ZNF146"	"ZNF146"	111	-0.84	0.4	0.705	NA	"UGDH, EIF4G2, CCDC124, NOSIP, + 72 genes"
"RFX3"	"RFX3"	36	-0.84	0.399	0.705	NA	"BRWD1, RNF217, MRPL37, ATP6V1E1, + 16 genes"
"ZNF345"	"ZNF345"	30	-0.84	0.398	0.705	NA	"POLG2, PRPF39, HCG27, RAD51-AS1, + 24 genes"
"HIVEP2"	"HIVEP2"	67	-0.85	0.398	0.705	NA	"NUP98, MRPL55, AHNAK, AFF4, + 51 genes"
"YBX2"	"YBX2"	28	-0.85	0.393	0.702	NA	"CCDC24, CCDC183, PNMA3, UHMK1, + 13 genes"
"USF3"	"USF3"	116	-0.86	0.392	0.701	NA	"BICD2, PDP2, STRN, RLIM, + 86 genes"
"ZNF169"	"ZNF169"	46	-0.86	0.388	0.697	NA	"RAD51-AS1, RPL32P3, TTC14, MCM3AP-AS1, + 32 genes"
"ZNF142"	"ZNF142"	59	-0.86	0.388	0.697	NA	"NDUFAB1, TTLL4, PSMD6, TBC1D16, + 37 genes"
"MED1"	"MED1"	106	-0.87	0.385	0.696	NA	"RAD50, NCOA3, YME1L1, PRRC2B, + 73 genes"
"TERF2"	"TERF2"	50	-0.87	0.383	0.694	NA	"MBTPS1, EIF4ENIF1, TTLL3, BCAS3, + 25 genes"
"ATRX"	"ATRX"	118	-0.88	0.38	0.691	NA	"ANAPC11, MRPS12, CAMSAP2, EBP, + 89 genes"
"TOX4"	"TOX4"	88	-0.88	0.379	0.691	NA	"METTL6, HNRNPH2, NCKAP5L, SUPT16H, + 51 genes"
"ZNF699"	"ZNF699"	156	-0.88	0.378	0.691	NA	"COPE, NDUFB4, NDUFA13, NDUFA11, + 126 genes"
"ZC3H11A"	"ZC3H11A"	50	-0.88	0.377	0.691	NA	"NELFE, CCNQ, PARGP1, KARS, + 37 genes"
"NCOA3"	"NCOA3"	81	-0.89	0.376	0.691	NA	"KDM5A, SYNE4, CCDC88A, CUTA, + 59 genes"
"TCF7L2"	"TCF7L2"	117	-0.89	0.373	0.687	NA	"ABAT, FEN1, ZNF521, CCT4, + 49 genes"
"ZNF585A"	"ZNF585A"	40	-0.89	0.372	0.686	NA	"CTDP1, PDP2, FRG1HP, KANSL1L, + 25 genes"
"ZNF34"	"ZNF34"	36	-0.89	0.371	0.686	NA	"SCNN1G, CCNB1IP1, GLS, ZNF350, + 19 genes"
"ZNF423"	"ZNF423"	46	-0.91	0.365	0.677	NA	"LRP5, IQSEC1, EBF1, RPL13AP6, + 18 genes"
"EPAS1"	"EPAS1"	77	-0.91	0.364	0.677	NA	"XRCC4, PFKFB4, INPP5A, TSEN54, + 33 genes"
"ZNF76"	"ZNF76"	87	-0.91	0.362	0.675	NA	"D2HGDH, ERVK3-1, KRT18P13, YY1, + 54 genes"
"CREBL2"	"CREBL2"	117	-0.91	0.361	0.675	NA	"PPP1R3D, HERC3, LIN7C, PLPBP, + 54 genes"
"ZMYM4"	"ZMYM4"	31	-0.92	0.357	0.674	NA	"ZNF426, ARHGAP5, ZFP90, ZNF260, + 14 genes"
"ZBED5"	"ZBED5"	45	-0.93	0.355	0.673	NA	"CEP95, ANAPC4, GLMN, RIC3, + 28 genes"
"ARID2"	"ARID2"	52	-0.93	0.352	0.671	NA	"RSF1, ARID4B, DDI2, TSR3, + 35 genes"
"BCL11B"	"BCL11B"	52	-0.94	0.345	0.664	NA	"LCK, CD2, PTPRC, CD6, + 46 genes"
"BBX"	"BBX"	135	-0.95	0.344	0.664	NA	"MRPL41, NOL12, MAN1A2, CAMSAP2, + 106 genes"
"ZNF407"	"ZNF407"	102	-0.95	0.343	0.664	NA	"COA6, TMEM256, TEX30, CIAO2B, + 68 genes"
"ZNF544"	"ZNF544"	32	-0.95	0.341	0.664	NA	"RPL7L1, ZNF324, MMACHC, AGBL5, + 15 genes"
"JDP2"	"JDP2"	30	-0.96	0.337	0.664	NA	"ZFP36, USP10, TES, TMEM231, + 14 genes"
"NFE2"	"NFE2"	101	-0.96	0.336	0.664	NA	"CCDC8, PSAT1, CETN2, SKIDA1, + 56 genes"
"ZNF292"	"ZNF292"	83	-0.97	0.332	0.657	NA	"PTGES2, ARID4B, MRPL51, MYDGF, + 60 genes"
"ZNF487"	"ZNF487"	82	-0.97	0.331	0.657	NA	"INTS6-AS1, TDRD3, TLN1, PPP2CA, + 64 genes"
"THAP11"	"THAP11"	69	-0.97	0.33	0.657	NA	"RAD51C, TMEM251, ARFGEF1, FKBPL, + 47 genes"
"NRL"	"NRL"	141	-0.98	0.329	0.657	NA	"METTL23, TCEAL3, CCDC24, CCDC183, + 94 genes"
"ZKSCAN8"	"ZKSCAN8"	52	-0.98	0.329	0.657	NA	"TNRC6A, BRWD1, ZNF587, ARID2, + 39 genes"
"NCOA1"	"NCOA1"	66	-0.98	0.326	0.656	NA	"ANAPC11, UQCRQ, PIH1D1, BLOC1S1, + 44 genes"
"ZNF281"	"ZNF281"	64	-0.99	0.322	0.652	NA	"NUP107, ABHD14B, SFT2D2, EMC10, + 42 genes"
"ARID1A"	"ARID1A"	53	-1	0.318	0.651	NA	"BCL7C, CDK12, NUDT14, PSMA1, + 33 genes"
"ZNF229"	"ZNF229"	57	-1	0.316	0.648	NA	"TAPBP, IDH2, ZNF772, PTPN13, + 36 genes"
"ASH1L"	"ASH1L"	178	-1	0.316	0.648	NA	"SOCS1, DDX19B, UXT, SNRPF, + 145 genes"
"ZNF655"	"ZNF655"	32	-1.01	0.312	0.644	NA	"IRAK4, CEP135, STAG3L3, CEP192, + 22 genes"
"TBX6"	"TBX6"	51	-1.01	0.311	0.644	NA	"ARIH2OS, CXXC1, LRSAM1, MRPL53, + 37 genes"
"MEF2A"	"MEF2A"	119	-1.02	0.309	0.644	NA	"TGFBR2, MLST8, USE1, PDLIM5, + 95 genes"
"TSHZ2"	"TSHZ2"	65	-1.03	0.303	0.635	NA	"SYNPO2, FAM198A, TNFAIP3, C14orf132, + 31 genes"
"CSRNP1"	"CSRNP1"	30	-1.05	0.295	0.62	NA	"ATF3, EGR3, CTGF, VPS37B, + 10 genes"
"RLF"	"RLF"	91	-1.05	0.294	0.62	NA	"UQCRQ, CCDC124, HMOX2, UBR5, + 71 genes"
"ZNF793"	"ZNF793"	34	-1.05	0.294	0.62	NA	"ZSCAN30, ZNF211, ZNF587, RBM25, + 25 genes"
"ARID3B"	"ARID3B"	75	-1.06	0.291	0.62	NA	"CNIH1, ANKRD44, RAB18, MEF2B, + 49 genes"
