"Regulon"	"Size"	"NES"	"p.value"	"FDR"	"Synergy"	"Ledge"
"EBF3"	"EBF3"	75	-0.49	0.621	0.833	NA	"RUSC2, JAM2, AQP7, DERA, + 18 genes"
"ZC3H15"	"ZC3H15"	98	-0.5	0.618	0.832	NA	"MRPS22, PAK1IP1, REXO1, PIP4K2B, + 64 genes"
"CLOCK"	"CLOCK"	77	-0.51	0.612	0.828	NA	"ITCH, CST3, LSM7, IRF3, + 42 genes"
"MEF2B"	"MEF2B"	61	-0.51	0.612	0.828	NA	"S1PR4, EXT2, KEL, SNX12, + 22 genes"
"IRF1"	"IRF1"	89	-0.52	0.606	0.825	NA	"PSME1, HLA-E, ZNF683, HLA-F, + 65 genes"
"ARID1A"	"ARID1A"	53	-0.52	0.603	0.825	NA	"PDZD11, PTRH2, LRRC37A17P, GTF3C6, + 28 genes"
"RCOR3"	"RCOR3"	72	-0.52	0.602	0.825	NA	"IQUB, TSC1, UBA5, SOX6, + 37 genes"
"ZNF540"	"ZNF540"	73	-0.52	0.602	0.825	NA	"ZNF814, CAPN1, ZNF226, TRIM39, + 27 genes"
"ZNF623"	"ZNF623"	47	-0.53	0.598	0.822	NA	"XPO7, STK4, UBXN7, SLF2, + 22 genes"
"ZNF844"	"ZNF844"	29	-0.53	0.594	0.818	NA	"NKAPD1, PLK3, RABIF, ASB8, + 10 genes"
"BATF2"	"BATF2"	42	-0.54	0.591	0.816	NA	"GZMH, GBP4, IRF2, NKG7, + 21 genes"
"ZNF610"	"ZNF610"	33	-0.54	0.591	0.816	NA	"RMND1, ZNF441, BRAP, MRFAP1L1, + 13 genes"
"TSC22D3"	"TSC22D3"	36	-0.54	0.588	0.814	NA	"SMCO4, IRF2BPL, KLF9, CNKSR3, + 11 genes"
"SKOR1"	"SKOR1"	30	-0.55	0.585	0.812	NA	"ING5, LINC00641, ADD3-AS1"
"SMARCA1"	"SMARCA1"	212	-0.55	0.581	0.808	NA	"SFXN3, TG, CANX, AKIRIN1, + 113 genes"
"FOXC2"	"FOXC2"	41	-0.55	0.58	0.808	NA	"ITGA5, NOS3, NPTX2, NTRK3, + 11 genes"
"DMTF1"	"DMTF1"	107	-0.55	0.579	0.808	NA	"DDX17, FAM160A2, TPRG1L, CCDC17, + 35 genes"
"CENPT"	"CENPT"	141	-0.56	0.578	0.808	NA	"PPT2-EGFL8, SNHG15, OGFR-AS1, DOP1B, + 40 genes"
"GATAD2B"	"GATAD2B"	56	-0.56	0.576	0.807	NA	"XPO7, ZNF462, CBX5, BZW2, + 22 genes"
"KLF2"	"KLF2"	52	-0.56	0.576	0.807	NA	"LRRC41, RASGRP2, NR1H3, GIMAP1, + 16 genes"
"NPAS3"	"NPAS3"	48	-0.57	0.569	0.804	NA	"USP27X, ATP5F1B, ATP5MC3, LRRC37A3, + 20 genes"
"ZSCAN2"	"ZSCAN2"	96	-0.57	0.566	0.802	NA	"BOK, CIB2, MTATP6P1, TRAP1, + 36 genes"
"ZNF275"	"ZNF275"	121	-0.57	0.566	0.802	NA	"NUBPL, SYNE3, SH2D3A, NKX2-8, + 40 genes"
"LEF1"	"LEF1"	59	-0.58	0.563	0.802	NA	"MS4A6A, CALHM2, PPP2R2B, SH3KBP1, + 26 genes"
"E2F5"	"E2F5"	28	-0.58	0.563	0.802	NA	"MMP28, RBM39, INTS1, KLF3-AS1, + 9 genes"
"TGIF2"	"TGIF2"	84	-0.58	0.562	0.802	NA	"OS9, MACC1, COQ8B, PDCD6IP, + 20 genes"
"BATF"	"BATF"	111	-0.59	0.553	0.794	NA	"HCK, TMEM176B, CFP, IGHA1, + 74 genes"
"CREB3L4"	"CREB3L4"	58	-0.6	0.551	0.794	NA	"FBXO15, RBPMS-AS1, TMEM154, PRRT1, + 14 genes"
"ARNT2"	"ARNT2"	100	-0.6	0.549	0.794	NA	"PEBP4, RASSF4, GPR61, LAMTOR5, + 25 genes"
"JUND"	"JUND"	50	-0.6	0.549	0.794	NA	"FKBP15, CHIC2, TRAPPC2B, MAFF, + 13 genes"
"ID3"	"ID3"	44	-0.61	0.545	0.792	NA	"HSPB11, SLC35B3, SLC9A7P1, SLC46A1, + 16 genes"
"FOXC1"	"FOXC1"	75	-0.61	0.543	0.792	NA	"SH3BP4, MSX1, VIPAS39, PTHLH, + 26 genes"
"ZNF700"	"ZNF700"	38	-0.61	0.542	0.792	NA	"HNRNPA0, PAXBP1, NKTR, ZNF169, + 20 genes"
"ZNF814"	"ZNF814"	75	-0.61	0.541	0.792	NA	"CHCHD3, UBA6-AS1, FOXP1, TIGD1, + 25 genes"
"ZNF662"	"ZNF662"	47	-0.62	0.537	0.788	NA	"SH3D21, BMF, CCDC200, CEL, + 42 genes"
"GRHL2"	"GRHL2"	44	-0.62	0.537	0.788	NA	"USP30, CSF3R, BEND7, CORO7, + 18 genes"
"IRX3"	"IRX3"	66	-0.62	0.536	0.788	NA	"STK38, DNAJA3, ACAD8, SCARA3, + 7 genes"
"SMARCC2"	"SMARCC2"	140	-0.62	0.535	0.788	NA	"C12orf45, ZNF384, MSI2, PIAS3, + 81 genes"
"ZMYM5"	"ZMYM5"	61	-0.62	0.535	0.788	NA	"IFT81, DOP1A, RIC8A, MAP3K7, + 35 genes"
"E2F3"	"E2F3"	55	-0.62	0.533	0.788	NA	"BAZ2B, KDM2A, SMIM26, FOXN2, + 28 genes"
"AEBP2"	"AEBP2"	61	-0.63	0.529	0.785	NA	"HDX, ABCD3, TAF9B, SMIM15, + 36 genes"
"FOXP1"	"FOXP1"	94	-0.63	0.529	0.785	NA	"MYO19, RABGGTB, EARS2, ABHD11, + 27 genes"
"EBF1"	"EBF1"	45	-0.63	0.528	0.785	NA	"KLRG2, KCNJ8, ELN, DNM3OS, + 12 genes"
"ZNF717"	"ZNF717"	53	-0.63	0.527	0.785	NA	"UBE3D, EEF1AKMT3, ZC3H8, RAP1GAP, + 23 genes"
"FOXO4"	"FOXO4"	37	-0.63	0.526	0.785	NA	"MLLT6, RAB20, MECP2, HARBI1, + 11 genes"
"ZNF789"	"ZNF789"	151	-0.64	0.525	0.785	NA	"MARK3, GYG1, MCMDC2, WHAMMP2, + 53 genes"
"REST"	"REST"	66	-0.64	0.523	0.785	NA	"RASSF4, EMD, CD2AP, C19orf70, + 31 genes"
"FOXK1"	"FOXK1"	51	-0.64	0.52	0.785	NA	"ZBED4, ETFRF1, BOLA3, OXNAD1, + 18 genes"
"ZNF683"	"ZNF683"	34	-0.65	0.519	0.785	NA	"BATF2, HLA-DMA, ADGRG5, PSMB9, + 24 genes"
"STAT4"	"STAT4"	149	-0.65	0.514	0.785	NA	"BTK, TNFAIP8L2, SEMA7A, CD86, + 97 genes"
"KMT2B"	"KMT2B"	91	-0.66	0.512	0.784	NA	"CCDC90B, SCFD1, SUGT1, POLR2K, + 85 genes"
"TBX21"	"TBX21"	84	-0.66	0.511	0.783	NA	"IL18BP, KLRD1, GIMAP4, BATF2, + 58 genes"
"SMARCA5"	"SMARCA5"	79	-0.66	0.508	0.782	NA	"GDPD5, COPB2, CHMP4A, PRRC1, + 50 genes"
"SOX6"	"SOX6"	111	-0.66	0.508	0.782	NA	"MAP7, MTX3, RSPH3, DDX39A, + 46 genes"
"DNMT3A"	"DNMT3A"	58	-0.66	0.507	0.782	NA	"HDAC7, CHMP2B, CACNA2D2, LAMTOR3, + 17 genes"
"STAT1"	"STAT1"	91	-0.67	0.504	0.782	NA	"FCHO1, SLAMF8, SP100, GOLGA8N, + 45 genes"
"ZNF74"	"ZNF74"	32	-0.68	0.498	0.777	NA	"JOSD1, SPSB1, TNK1, GTPBP1, DUOX2"
"MED1"	"MED1"	106	-0.68	0.498	0.777	NA	"DNAJB2, FAU, ATP11C, FBXO11, + 67 genes"
"NCOR1"	"NCOR1"	26	-0.68	0.497	0.777	NA	"HUWE1, GTF2I, NF1, COPS9, + 12 genes"
"LCOR"	"LCOR"	44	-0.68	0.494	0.777	NA	"AKR7A2, DOP1A, TET2, CNOT6, + 19 genes"
"NCOA2"	"NCOA2"	104	-0.68	0.494	0.777	NA	"IFT20, ARHGAP12, RAB4B, COMMD1, + 65 genes"
"ZNF483"	"ZNF483"	34	-0.68	0.494	0.777	NA	"CENPW, GINS3, MECP2, PMAIP1, + 13 genes"
"AKNA"	"AKNA"	58	-0.69	0.492	0.777	NA	"PLCB2, ARHGAP45, SLAMF8, PRXL2A, + 31 genes"
"ZNF329"	"ZNF329"	48	-0.69	0.492	0.777	NA	"APPBP2, RPL7L1, TM9SF2, ZNF689, + 18 genes"
"ZNF398"	"ZNF398"	40	-0.69	0.491	0.777	NA	"KDM4D, ZNF555, STMP1, ZNF557, + 16 genes"
"ZNF554"	"ZNF554"	61	-0.69	0.488	0.777	NA	"LIAS, ZNF473, C19orf44, ZNF773, + 19 genes"
"JARID2"	"JARID2"	63	-0.69	0.488	0.777	NA	"TMBIM6, SLC25A3, CEP135, VDAC2, + 22 genes"
"AHR"	"AHR"	123	-0.69	0.488	0.777	NA	"PLEKHB1, PSTPIP2, RBBP8NL, ARID5B, + 50 genes"
"ZNF646"	"ZNF646"	32	-0.7	0.487	0.777	NA	"ZNF79, CHERP, RAB2A, DHX37, + 26 genes"
"ZNF680"	"ZNF680"	136	-0.7	0.481	0.777	NA	"FAM8A1, SRM, TCIRG1, EHD2, + 77 genes"
"ZNF337"	"ZNF337"	39	-0.71	0.481	0.777	NA	"EIF3F, ZSCAN30, DCAF5, SLC23A1, + 19 genes"
"ZBTB32"	"ZBTB32"	36	-0.71	0.48	0.777	NA	"RASAL3, DOK3, MMP25-AS1, KEL, + 22 genes"
"NFX1"	"NFX1"	37	-0.71	0.477	0.776	NA	"FKBP10, GTF3C3, SCAPER, PPP2R5B, + 19 genes"
"PRDM4"	"PRDM4"	25	-0.71	0.475	0.776	NA	"SERF2, RAD50, NUP205, HMG20A, + 15 genes"
"ZNF34"	"ZNF34"	36	-0.72	0.471	0.771	NA	"ZNF582-AS1, ZNF350, ZNF763, SPPL3, + 13 genes"
"ZNF512B"	"ZNF512B"	103	-0.73	0.467	0.768	NA	"SPAG5-AS1, ADGRF3, FBXO4, HSD17B1P1, + 41 genes"
"MBD1"	"MBD1"	35	-0.74	0.46	0.758	NA	"PI4KAP2, SART3, ANKMY1, TMEM161B, + 16 genes"
"ZBTB38"	"ZBTB38"	102	-0.75	0.455	0.758	NA	"MRPL22, TARBP2, ACTR2, AUP1, + 63 genes"
"LCORL"	"LCORL"	28	-0.75	0.454	0.758	NA	"DCTN4, LIN54, OIP5-AS1, MIATNB, + 15 genes"
"KLF12"	"KLF12"	79	-0.75	0.454	0.758	NA	"FAM102B, MPLKIP, ID1, PCDHGC3, + 35 genes"
"FOXJ2"	"FOXJ2"	28	-0.75	0.452	0.758	NA	"SPEN, DNAJC1, LAMTOR4, SPATA5, + 8 genes"
"MAFF"	"MAFF"	52	-0.75	0.45	0.757	NA	"EDA, PPP2R5D, PIK3C2B, LIF, + 19 genes"
"ZNF407"	"ZNF407"	102	-0.76	0.45	0.757	NA	"PRRC2B, COA6, PSMA1, SMIM26, + 56 genes"
"ZNF391"	"ZNF391"	32	-0.76	0.448	0.755	NA	"COIL, LMNA, CBX1, PLK3, + 16 genes"
"ZNF597"	"ZNF597"	38	-0.76	0.446	0.754	NA	"HIGD2A, HRASLS, COX6C, QSOX2, + 16 genes"
"CREB5"	"CREB5"	73	-0.76	0.445	0.753	NA	"FBXO10, GCNT4, TAGLN2, UBE2O, + 19 genes"
"ZNF841"	"ZNF841"	26	-0.76	0.444	0.753	NA	"BTAF1, ZFC3H1, ZNF587, ZNF160, + 9 genes"
"UNKL"	"UNKL"	78	-0.77	0.444	0.753	NA	"SETD1B, BAHCC1, RERE, COX7A2L, + 37 genes"
"ZNF606"	"ZNF606"	42	-0.77	0.442	0.753	NA	"ZNF195, NEPRO, ZNF350, WDR5B, + 21 genes"
"RUNX3"	"RUNX3"	96	-0.77	0.441	0.753	NA	"ZNF19, DGKA, ARHGAP25, IL24, + 72 genes"
"IRF2"	"IRF2"	55	-0.77	0.44	0.753	NA	"MROH1, ARHGAP25, SKAP1, MARCH1, + 38 genes"
"TP63"	"TP63"	44	-0.78	0.437	0.751	NA	"HSD17B14, ACAD8, TANGO2, SRPX2, + 4 genes"
"IKZF1"	"IKZF1"	204	-0.78	0.434	0.751	NA	"MS4A6A, NAPSB, IL24, IGKC, + 144 genes"
"ZFHX3"	"ZFHX3"	35	-0.79	0.431	0.75	NA	"ST3GAL4, ZNF462, UBXN7, GTF3A, + 15 genes"
"ZBTB41"	"ZBTB41"	86	-0.79	0.429	0.748	NA	"AUP1, ESF1, MANEA, SLC25A40, + 56 genes"
"ZNF384"	"ZNF384"	54	-0.79	0.428	0.748	NA	"TTI1, NR2C2, SRRM2, HMG20A, + 21 genes"
"KDM5B"	"KDM5B"	251	-0.79	0.427	0.748	NA	"HTATIP2, VSIG10, CHST15, HAX1, + 153 genes"
"ZBED5"	"ZBED5"	45	-0.8	0.426	0.748	NA	"LEAP2, ZNF22, EEF2, KRCC1, + 22 genes"
"FOXN2"	"FOXN2"	60	-0.8	0.424	0.747	NA	"MRPS18A, CASP8, GIMAP2, SERPINB6, + 26 genes"
"THAP1"	"THAP1"	48	-0.8	0.423	0.745	NA	"MRPS22, CEP70, KRCC1, YEATS4, + 28 genes"
"NR1H3"	"NR1H3"	140	-0.8	0.422	0.745	NA	"RPRD1A, CHMP5, SLC43A2, PCDHGB7, + 53 genes"
"HIVEP1"	"HIVEP1"	172	-0.81	0.42	0.745	NA	"COPS9, CDC14A, TMEM42, GGCX, + 87 genes"
"ZNF69"	"ZNF69"	106	-0.81	0.418	0.743	NA	"PCMT1, CHAC1, RPL13P5, CERS6, + 34 genes"
"RREB1"	"RREB1"	30	-0.81	0.418	0.743	NA	"NUP85, NUDT1, PRDM11, PIK3C2A, + 8 genes"
"ZNF334"	"ZNF334"	31	-0.81	0.418	0.743	NA	"RABL2A, MTF2, CCDC191, POGZ, + 4 genes"
"ZNF148"	"ZNF148"	71	-0.81	0.417	0.743	NA	"TP53I3, MKNK1, TMEM245, RNF13, + 49 genes"
"SKIL"	"SKIL"	102	-0.82	0.41	0.736	NA	"UBE2D1, NAIF1, KLC4, MPI, + 34 genes"
"ZNF655"	"ZNF655"	32	-0.83	0.409	0.736	NA	"CYB5RL, CEP135, MAPK3, RINT1, + 22 genes"
"HMG20A"	"HMG20A"	94	-0.83	0.409	0.736	NA	"TCTEX1D2, RPL18, NT5C2, NDUFA7, + 51 genes"
"STAT2"	"STAT2"	113	-0.83	0.409	0.736	NA	"CDCP1, YWHAE, IFNAR2, HDAC1, + 19 genes"
"ZFP69"	"ZFP69"	30	-0.83	0.408	0.736	NA	"FDXACB1, PIF1, MBD4, ARAF, + 13 genes"
"POU6F1"	"POU6F1"	51	-0.83	0.408	0.736	NA	"SLC35A2, SLC31A1, MSANTD2, ADCY10P1, + 10 genes"
"CSRNP1"	"CSRNP1"	30	-0.83	0.407	0.736	NA	"KLF9, KLF2, ETS2, CAVIN2, + 15 genes"
"ZBTB11"	"ZBTB11"	118	-0.83	0.405	0.736	NA	"PDS5A, ARFGEF1, SEC24A, KPNA3, + 75 genes"
"GON4L"	"GON4L"	86	-0.84	0.403	0.736	NA	"PARK7, UBXN7, BAZ2A, FLYWCH2, + 51 genes"
"RORA"	"RORA"	61	-0.84	0.402	0.736	NA	"B4GALT2, DOLPP1, PRKAR1B, TOMM40, + 33 genes"
"DR1"	"DR1"	86	-0.84	0.402	0.736	NA	"WDR26, ABCA3, JMJD8, ACTR2, + 47 genes"
"SMARCC1"	"SMARCC1"	149	-0.84	0.401	0.736	NA	"TBX2-AS1, RNMT, IFT20, NCOR1, + 103 genes"
"KMT2D"	"KMT2D"	169	-0.84	0.4	0.736	NA	"EMG1, RPL10AP2, ZNF609, DCAF5, + 89 genes"
"HESX1"	"HESX1"	53	-0.84	0.399	0.736	NA	"CDKL3, MFF, BCCIP, ANAPC16, + 26 genes"
"HBP1"	"HBP1"	70	-0.84	0.399	0.736	NA	"GAPDHP1, SMARCC1, KCTD18, CCNG2, + 50 genes"
"ADNP2"	"ADNP2"	120	-0.84	0.399	0.736	NA	"UHRF1BP1L, C12orf65, XRN2, APPBP2, + 72 genes"
"ATF1"	"ATF1"	66	-0.85	0.397	0.736	NA	"CD2AP, TSPAN14, TBC1D15, UBE2K, + 40 genes"
"ZNF485"	"ZNF485"	31	-0.85	0.395	0.736	NA	"CCSAP, PRIM1, WASHC2A, BUB3, + 12 genes"
"ZNF585A"	"ZNF585A"	40	-0.85	0.395	0.736	NA	"FRG1HP, CARF, GPLD1, JMY, + 31 genes"
"ZNF10"	"ZNF10"	83	-0.85	0.393	0.736	NA	"CEP95, ZNF662, PSMD2, CLHC1, + 43 genes"
"BACH1"	"BACH1"	108	-0.86	0.39	0.736	NA	"LRRC27, SPIN2B, NAA60, ZC3HC1, + 57 genes"
"ZNF320"	"ZNF320"	33	-0.86	0.39	0.736	NA	"POLR3GL, ING2, TYW5, GTF3C3, + 21 genes"
"LHX4"	"LHX4"	32	-0.86	0.389	0.736	NA	"MRFAP1, ANKRD36, CEP152, RPL41P5, + 20 genes"
"KDM5A"	"KDM5A"	160	-0.86	0.389	0.736	NA	"MRPS21, MTMR8, NT5C, EMC4, + 126 genes"
"FOXO1"	"FOXO1"	110	-0.87	0.386	0.736	NA	"TMEM54, CNST, MTMR10, HMGXB3, + 51 genes"
"HDX"	"HDX"	26	-0.87	0.385	0.736	NA	"TMEM125, C16orf95, VEGFB, LNPEP, + 9 genes"
"ZNF81"	"ZNF81"	63	-0.87	0.384	0.736	NA	"TAOK1, TRAPPC10, VPS8, NSFL1C, + 46 genes"
"GMEB1"	"GMEB1"	37	-0.88	0.381	0.736	NA	"HTATIP2, ZNF713, FOXP1, ETFRF1, + 18 genes"
"ZBTB16"	"ZBTB16"	25	-0.88	0.38	0.736	NA	"PIK3C2A, LIMCH1, FAM89B, TBCEL, + 9 genes"
"RORC"	"RORC"	43	-0.9	0.37	0.729	NA	"PLEKHG2, LINC00957, KCTD2, TIGAR, + 12 genes"
"ZBTB43"	"ZBTB43"	74	-0.9	0.37	0.729	NA	"SMIM20, CPSF4, ALKBH7, UBXN7, + 47 genes"
"ZNF674"	"ZNF674"	53	-0.9	0.37	0.729	NA	"CDC42EP5, KRIT1, PIAS2, UBA5, + 33 genes"
"ZHX1"	"ZHX1"	106	-0.9	0.368	0.729	NA	"SLC30A4, FYCO1, GNB1L, TMEM167B, + 51 genes"
"ZKSCAN4"	"ZKSCAN4"	36	-0.91	0.363	0.724	NA	"CLP1, DFFB, ING2, ZNF550, + 16 genes"
"DNMT3B"	"DNMT3B"	60	-0.91	0.361	0.724	NA	"PPP3CB, CDC42EP4, RIPOR3, DPY19L2, + 17 genes"
"THAP6"	"THAP6"	61	-0.91	0.361	0.724	NA	"CDKL1, CPEB3, RANGAP1, PCNX3, + 31 genes"
"ZBTB34"	"ZBTB34"	68	-0.92	0.36	0.724	NA	"PRADC1, ZBTB39, NDUFA10, UHRF2, + 36 genes"
"NFAT5"	"NFAT5"	257	-0.92	0.36	0.724	NA	"BRD3, ATP5MG, RPL36, MAF1, + 175 genes"
"SP110"	"SP110"	85	-0.92	0.36	0.724	NA	"CRYGN, AKNA, HCLS1, ETV7, + 55 genes"
"BBX"	"BBX"	135	-0.92	0.36	0.724	NA	"FUT10, SPINDOC, SHTN1, FNBP1L, + 97 genes"
"THAP5"	"THAP5"	55	-0.92	0.359	0.724	NA	"UBE2V2, SLC30A5, ANKRD46, SCFD1, + 33 genes"
"ELF1"	"ELF1"	102	-0.92	0.357	0.724	NA	"PEX13, MRPL24, SEC24A, PDS5B, + 77 genes"
"ZNF345"	"ZNF345"	30	-0.93	0.355	0.724	NA	"SH3BP5-AS1, PRPF39, ZMAT1, ENOSF1, + 13 genes"
"NR2C2"	"NR2C2"	43	-0.93	0.353	0.724	NA	"MRPS7, MRPS2, PARGP1, GRWD1, + 19 genes"
"ZNF619"	"ZNF619"	35	-0.93	0.351	0.724	NA	"PRIM1, GOLPH3L, DNAJC13, SAP130, + 19 genes"
"CREB3L1"	"CREB3L1"	71	-0.94	0.345	0.717	NA	"BCL7A, SRPX2, STXBP6, CPPED1, + 12 genes"
"TEAD1"	"TEAD1"	241	-0.94	0.345	0.717	NA	"SURF1, RIN2, DYNC1H1, MBLAC1, + 157 genes"
"MEF2A"	"MEF2A"	119	-0.94	0.345	0.717	NA	"ATF7, XAB2, LRRC61, RPL8, + 63 genes"
"MYSM1"	"MYSM1"	68	-0.95	0.343	0.717	NA	"ATAD2B, ZNF354B, ZNF280C, CCT7, + 39 genes"
"CDC5L"	"CDC5L"	104	-0.95	0.343	0.717	NA	"TAB2, SMU1, RECQL4, SLC30A5, + 73 genes"
"CTCF"	"CTCF"	62	-0.96	0.336	0.713	NA	"GUK1, PDS5B, RNF169, MSL2, + 37 genes"
"HOXB4"	"HOXB4"	25	-0.96	0.336	0.713	NA	"ANTXR2, APMAP, ITPRIPL1, SLC8A1, + 14 genes"
"SMAD5"	"SMAD5"	48	-0.96	0.336	0.713	NA	"SLC25A46, ETHE1, TCAF1, ZNF704, + 32 genes"
"TAF1"	"TAF1"	146	-0.97	0.332	0.71	NA	"SNRNP200, WDR11, EP400, ITPA, + 106 genes"
"ZNF202"	"ZNF202"	38	-0.97	0.33	0.707	NA	"ITGA9-AS1, CCT6P3, PRDM15, PDZK1, + 19 genes"
"ATRX"	"ATRX"	118	-0.97	0.33	0.707	NA	"SCNM1, PRELID1, SLK, C19orf70, + 83 genes"
"RFX2"	"RFX2"	38	-0.97	0.33	0.707	NA	"GSR, TES, KRT8, PACSIN1, + 11 genes"
"CREB1"	"CREB1"	44	-0.98	0.329	0.707	NA	"DTWD2, KRTCAP2, LMBRD2, MANEA, + 35 genes"
"SALL2"	"SALL2"	118	-0.98	0.329	0.707	NA	"WBP1L, ATXN7L3B, CEP126, ARMCX1, + 50 genes"
"FOXP3"	"FOXP3"	39	-0.99	0.324	0.706	NA	"RAB7B, SLC48A1, CIITA, SLC4A5, + 10 genes"
"ZSCAN32"	"ZSCAN32"	28	-0.99	0.324	0.706	NA	"HELZ, TPT1, TNRC6A, LMLN, + 15 genes"
"PBX1"	"PBX1"	70	-0.99	0.323	0.706	NA	"EIF4EBP1, PJA1, TRPM4, KAT6B, + 44 genes"
"ZNF100"	"ZNF100"	40	-0.99	0.321	0.706	NA	"POLR1E, PRICKLE1, CDKAL1, FBXO16, + 22 genes"
"ZNF532"	"ZNF532"	145	-1	0.319	0.705	NA	"COX7B, MRPS36, HOOK3, SMIM20, + 95 genes"
"SFPQ"	"SFPQ"	128	-1	0.315	0.701	NA	"PRPF3, DDX17, SRRT, STX6, + 67 genes"
"KLF9"	"KLF9"	26	-1.01	0.313	0.7	NA	"TSC22D3, IRAK3, IRF2BPL, ARHGEF2, + 13 genes"
"STAT3"	"STAT3"	159	-1.01	0.312	0.7	NA	"GLI4, CDYL, ACYP2, COA6, + 104 genes"
"ZNF195"	"ZNF195"	28	-1.01	0.312	0.7	NA	"SUGT1, STK40, APOLD1, ZCCHC7, + 8 genes"
"ZNF253"	"ZNF253"	30	-1.02	0.31	0.7	NA	"ZNF772, ZNF626, ZNF136, ZNF844, + 15 genes"
"RFX3"	"RFX3"	36	-1.02	0.308	0.697	NA	"ATP6V1E1, MRPS16, KRT19, CRTAP, + 15 genes"
"RFX7"	"RFX7"	42	-1.02	0.308	0.697	NA	"NFU1, ARPC1A, RNH1, SNU13, + 31 genes"
"ZC3H11A"	"ZC3H11A"	50	-1.02	0.308	0.697	NA	"PARGP1, RPL27, RPL13, PRELID1, + 32 genes"
"ZNF146"	"ZNF146"	111	-1.02	0.308	0.697	NA	"TBC1D17, FBXL8, TFEB, MAPK11, + 88 genes"
"SP2"	"SP2"	149	-1.03	0.303	0.696	NA	"C4orf48, CKLF, TIMP3, YPEL3, + 71 genes"
"IRF6"	"IRF6"	78	-1.03	0.303	0.696	NA	"YWHAZ, MXD4, HIPK4, ATL2, + 32 genes"
"ARID2"	"ARID2"	52	-1.03	0.301	0.696	NA	"NF1, SPIN1, MARCH6, CLASP1, + 33 genes"
"ZNF142"	"ZNF142"	59	-1.03	0.301	0.696	NA	"TTLL4, PCMT1, CHMP5, SZT2, + 22 genes"
"ZNF616"	"ZNF616"	43	-1.04	0.299	0.694	NA	"POFUT1, DCLRE1A, LMNA, PLK3, + 28 genes"
"SP140L"	"SP140L"	41	-1.04	0.298	0.694	NA	"CD81-AS1, TMEM38B, FKBP1B, TMBIM6, + 26 genes"
"ZNF169"	"ZNF169"	46	-1.04	0.298	0.694	NA	"CICP14, PTTG1IP, LTB4R2, SUGP2, + 23 genes"
"PRRX2"	"PRRX2"	113	-1.04	0.297	0.694	NA	"ING1, SERPINF2, ZNF664, BRSK1, + 46 genes"
"MSX1"	"MSX1"	79	-1.05	0.296	0.694	NA	"ZDHHC14, GPAT2, POLR2J4, GDPD3, + 27 genes"
"ARID3B"	"ARID3B"	75	-1.05	0.295	0.694	NA	"UTP18, ZNF277, DNMT3B, LYRM1, + 37 genes"
"ASH1L"	"ASH1L"	178	-1.05	0.292	0.694	NA	"DDX39A, ATXN1, UXT, SRM, + 131 genes"
"JDP2"	"JDP2"	30	-1.05	0.292	0.694	NA	"FILIP1L, PPIP5K1, KLHL29, GNPTAB, + 12 genes"
"USF3"	"USF3"	116	-1.05	0.291	0.694	NA	"FYCO1, PMF1, TAB2, MIB1, + 86 genes"
"NCOA3"	"NCOA3"	81	-1.06	0.288	0.694	NA	"KDF1, DNAJB2, HELZ, TADA3, + 53 genes"
"SREBF2"	"SREBF2"	121	-1.06	0.288	0.694	NA	"RANBP17, ST13, TES, POLDIP3, + 41 genes"
"ZNFX1"	"ZNFX1"	124	-1.06	0.287	0.694	NA	"NIT2, TMA7, IFT20, NDUFC1, + 67 genes"
"AHCTF1"	"AHCTF1"	33	-1.07	0.286	0.694	NA	"GSDMD, NF1, GNB1L, MTR, + 23 genes"
"KLF3"	"KLF3"	30	-1.07	0.285	0.694	NA	"GPR180, LPCAT4, PYCR2, USP46, + 18 genes"
"ZBTB2"	"ZBTB2"	59	-1.08	0.279	0.685	NA	"LINC01503, LINC01508, PAQR6, FAM20A, + 22 genes"
"TCF12"	"TCF12"	222	-1.08	0.279	0.685	NA	"PDCD6, PTENP1, CEP170, TCTEX1D2, + 174 genes"
"POGZ"	"POGZ"	54	-1.09	0.277	0.684	NA	"VN1R1, RAD52, RBM33, GOLGA2P5, + 30 genes"
"ZBTB25"	"ZBTB25"	77	-1.09	0.276	0.684	NA	"SYT12, LMNA, GLMN, MDM1, + 35 genes"
"PRDM5"	"PRDM5"	133	-1.09	0.274	0.682	NA	"OSTF1, SUMO2, MINDY3, ZC3H14, + 80 genes"
"ZNF12"	"ZNF12"	33	-1.1	0.273	0.681	NA	"TADA1, ATMIN, TMEM209, ZNF761, + 23 genes"
"ZNF3"	"ZNF3"	28	-1.1	0.272	0.681	NA	"SIAH1, DNAJC2, ZNF773, ZNF343, + 13 genes"
"CREM"	"CREM"	93	-1.1	0.272	0.681	NA	"ZMYND8, FLCN, CTC1, AKIRIN1, + 49 genes"
"TCF7L2"	"TCF7L2"	117	-1.1	0.272	0.681	NA	"HSPA9, GLRX3, FGD6, GSTA4, + 60 genes"
"PAX8"	"PAX8"	109	-1.1	0.271	0.681	NA	"UGDH-AS1, MTHFD2, TANC2, JPH1, + 42 genes"
"ESR1"	"ESR1"	96	-1.11	0.268	0.678	NA	"QSOX2, GALNT6, KIAA0930, COL4A4, + 31 genes"
"ZNF22"	"ZNF22"	88	-1.11	0.267	0.678	NA	"RBM4B, ITM2B, PITPNM1, ANKRD49, + 42 genes"
